cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
108.248,2024-11-03T22:55:23.498Z,40.7471437,-111.9215411,1287.741,0.078,0.02,9073,82523.499,1.59,3,MSLV
208.22477777777777,2024-11-03T22:55:23.599Z,40.7471438,-111.9215411,1287.737,0.052,0.08,9073,82523.599,1.59,3,MSLV
308.20155555555556,2024-11-03T22:55:23.698Z,40.7471438,-111.9215412,1287.689,0.072,0.05,9073,82523.699,1.59,3,MSLV
408.17833333333334,2024-11-03T22:55:23.798Z,40.7471439,-111.921541,1287.718,0.044,0.09,9073,82523.799,1.59,3,MSLV
508.1551111111111,2024-11-03T22:55:23.899Z,40.747144,-111.921541,1287.705,0.076,0.04,9073,82523.899,1.59,3,MSLV
608.1318888888889,2024-11-03T22:55:24.000Z,40.7471439,-111.9215411,1287.68,0.061,0.08,9073,82524,1.59,3,MSLV
708.1086666666666,2024-11-03T22:55:24.099Z,40.747144,-111.9215411,1287.66,0.051,0.07,9073,82524.099,1.59,3,MSLV
808.0854444444444,2024-11-03T22:55:24.198Z,40.747144,-111.9215412,1287.683,0.024,0.07,9073,82524.199,1.59,3,MSLV
908.0622222222222,2024-11-03T22:55:24.298Z,40.7471442,-111.9215412,1287.698,0.114,0.02,9073,82524.299,1.65,3,MSLV
1008.039,2024-11-03T22:55:24.399Z,40.7471448,-111.9215416,1287.728,0.398,0.12,9073,82524.399,1.65,3,MSLV
1107.9569999999999,2024-11-03T22:55:24.498Z,40.7471446,-111.9215415,1287.705,0.059,0.4,9073,82524.499,1.65,3,MSLV
1207.875,2024-11-03T22:55:24.599Z,40.7471446,-111.9215414,1287.705,0.009,0.07,9073,82524.599,1.65,3,MSLV
1307.7930000000001,2024-11-03T22:55:24.698Z,40.7471446,-111.9215414,1287.672,0.011,0.04,9073,82524.699,1.65,3,MSLV
1407.7110000000002,2024-11-03T22:55:24.798Z,40.7471445,-111.9215414,1287.654,0.099,0.01,9073,82524.799,1.72,3,MSLV
1507.6290000000004,2024-11-03T22:55:24.899Z,40.7471446,-111.9215414,1287.66,0.034,0.1,9073,82524.899,1.72,3,MSLV
1607.5470000000005,2024-11-03T22:55:25.000Z,40.7471445,-111.9215413,1287.649,0.03,0.03,9073,82525,1.72,3,MSLV
1707.4650000000006,2024-11-03T22:55:25.099Z,40.7471445,-111.9215412,1287.64,0.059,0.03,9073,82525.099,1.72,3,MSLV
1807.3830000000007,2024-11-03T22:55:25.198Z,40.7471445,-111.9215412,1287.626,0.054,0.06,9073,82525.199,1.72,3,MSLV
1907.3010000000008,2024-11-03T22:55:25.298Z,40.7471446,-111.9215413,1287.626,0.075,0.06,9073,82525.299,1.72,3,MSLV
2007.219,2024-11-03T22:55:25.399Z,40.7471444,-111.9215411,1287.631,0.14,0.08,9073,82525.399,1.66,3,MSLV
2107.4408,2024-11-03T22:55:25.498Z,40.7471446,-111.9215413,1287.622,0.072,0.14,9073,82525.499,1.66,3,MSLV
2207.6625999999997,2024-11-03T22:55:25.599Z,40.7471446,-111.9215411,1287.605,0.038,0.07,9073,82525.599,1.72,3,MSLV
